,First,End,FirstWord,EndWord,FirstCUI,EndCUI,Distance,ScoreUMLS,Sentence,Document,Label
218,149,153,incidence,morbidity,C0021149,C0026538,17,0,29,30558876,PAR
219,149,153,incidence,morbidity,C0021149,C0026538,17,0,29,30558876,RQ
220,149,153,incidence,morbidity,C0021149,C0026538,17,0,29,30558876,RB
221,187,192,mortality,mortality rate,C0026565,C0026565,13,1,31,30558876,RQ
222,187,192,mortality,mortality rate,C0026565,C0026565,13,1,31,30558876,SY
223,192,194,mortality rate,mortality,C0026565,C0026565,6,0,31,30558876,RQ
224,192,194,mortality rate,mortality,C0026565,C0026565,6,0,31,30558876,SY
225,265,268,occur,occurrence,C1709305,C0243132,10,0,42,30558876,RO
226,298,306,expenditure,expense,C0015316,C0680864,20,0,47,30558876,RQ
227,298,306,expenditure,expense,C0015316,C0680864,20,0,47,30558876,RO
228,594,597,patient,inpatient,C0030705,C0021562,6,1,83,30558876,RO
229,594,597,patient,inpatient,C0030705,C0021562,6,1,83,30558876,RN
230,594,597,patient,inpatient,C0030705,C0021562,6,1,83,30558876,CHD
231,596,601,hospitalization,readmission,C0019993,C0184666,15,0,83,30558876,RN
232,597,600,inpatient,patient,C0021562,C0030705,8,1,83,30558876,PAR
233,597,600,inpatient,patient,C0021562,C0030705,8,1,83,30558876,RO
234,597,600,inpatient,patient,C0021562,C0030705,8,1,83,30558876,RB
235,635,636,airway injury,tracheoesophageal fistula,C0458827,C0040588,2,0,89,30558876,CHD
236,639,640,crt,chemoradiotherapy,C0436307,C0436307,1,0,92,30558876,SY
237,675,677,inpatient,patient,C0021562,C0030705,5,1,98,30558876,PAR
238,675,677,inpatient,patient,C0021562,C0030705,5,1,98,30558876,RO
239,675,677,inpatient,patient,C0021562,C0030705,5,1,98,30558876,RB
240,677,682,patient,inpatient,C0030705,C0021562,9,0,98,30558876,RO
241,677,682,patient,inpatient,C0030705,C0021562,9,0,98,30558876,RN
242,677,682,patient,inpatient,C0030705,C0021562,9,0,98,30558876,CHD
243,683,684,icu,intensive care unit,C0021708,C0021708,1,0,98,30558876,RQ
244,683,684,icu,intensive care unit,C0021708,C0021708,1,0,98,30558876,SY
245,726,727,icu,intensive care unit,C0021708,C0021708,1,0,106,30558876,RQ
246,726,727,icu,intensive care unit,C0021708,C0021708,1,0,106,30558876,SY
247,728,729,iv,intravenous,C0021440,C0348016,1,0,106,30558876,RO
248,743,744,icu,intensive care unit,C0021708,C0021708,1,0,109,30558876,RQ
249,743,744,icu,intensive care unit,C0021708,C0021708,1,0,109,30558876,SY
250,745,746,iv,intravenous,C0021440,C0348016,1,0,109,30558876,RO
251,762,763,icu,intensive care unit,C0021708,C0021708,1,0,113,30558876,RQ
252,762,763,icu,intensive care unit,C0021708,C0021708,1,0,113,30558876,SY
253,764,765,iv,intravenous,C0021440,C0348016,1,0,113,30558876,RO
254,775,776,icu,hospital room,C0021708,C0034871,1,0,115,30558876,CHD
255,803,804,icu,intensive care unit,C0021708,C0021708,1,0,118,30558876,RQ
256,803,804,icu,intensive care unit,C0021708,C0021708,1,0,118,30558876,SY
257,805,806,iv,intravenous,C0021440,C0348016,1,0,118,30558876,RO
258,813,819,treatment,treat,C0039798,C1522326,15,0,120,30558876,RO
259,813,820,treatment,anastomotic leak,C0039798,C0919691,17,0,120,30558876,QB
260,833,837,surgery,operation,C0038894,C0543467,10,0,124,30558876,RQ
261,833,837,surgery,operation,C0038894,C0543467,10,0,124,30558876,SY
262,880,884,inpatient,patient,C0021562,C0030705,7,0,130,30558876,PAR
263,880,884,inpatient,patient,C0021562,C0030705,7,0,130,30558876,RO
264,880,884,inpatient,patient,C0021562,C0030705,7,0,130,30558876,RB
265,915,918,anastomotic leak,treatment,C0919691,C0039798,10,0,136,30558876,AQ
266,1054,1058,hospital,hospital-to-hospital limit,C0019994,C0019994,13,0,155,30558876,RQ
267,1054,1058,hospital,hospital-to-hospital limit,C0019994,C0019994,13,0,155,30558876,SY
268,1064,1066,medical cost,cost,C0010186,C0010186,7,0,157,30558876,SY
269,19,20,procedure,treat,C0025664,C0087111,4,0,3,25841828,QB
270,247,249,antibiotic,doxycycline,C0003232,C0013090,5,0,45,25841828,CHD
271,23,26,primary anastomosis,anastomotic leak identify,C0677554,C0919691,7,0,3,34480672,RO
272,96,98,sv,country,C0013754,C0454664,6,0,14,34480672,PAR
273,101,103,Africa,Middle East,C0001737,C0026068,5,0,15,34480672,RO
274,234,236,anastomotic leak,primary anastomosis,C0919691,C0677554,5,2,36,34480672,RO
275,252,253,sigmoidectomy,leave colectomy,C0192866,C0192865,2,4,39,34480672,PAR
276,252,253,sigmoidectomy,leave colectomy,C0192866,C0192865,2,4,39,34480672,CHD
277,287,289,endoscopic,endoscopy,C0014245,C0014245,4,1,42,34480672,RQ
278,287,289,endoscopic,endoscopy,C0014245,C0014245,4,1,42,34480672,SY
279,350,351,endoscopic,intervention,C0014245,C0184661,1,3,52,34480672,PAR
280,426,429,age,aged,C0001779,C0001779,15,0,69,34480672,PAR
281,426,429,age,aged,C0001779,C0001779,15,0,69,34480672,CHD
282,468,470,anastomotic leak,primary anastomosis,C0919691,C0677554,5,2,77,34480672,RO
283,546,548,age,elderly,C0001779,C0001792,6,0,88,34480672,RO
284,557,562,elderly,aged,C0001792,C0001779,16,0,90,34480672,RO
285,692,698,incidence,risk,C0021149,C0035647,17,0,108,34480672,RO
286,722,724,proximal bowel,distal rectum,C0021853,C0034896,4,1,112,34480672,CHD
287,722,724,proximal bowel,distal rectum,C0021853,C0034896,4,1,112,34480672,RN
288,722,729,proximal bowel,bowel,C0021853,C0021853,14,0,112,34480672,RQ
289,722,729,proximal bowel,bowel,C0021853,C0021853,14,0,112,34480672,SY
290,724,729,distal rectum,bowel,C0034896,C0021853,9,1,112,34480672,PAR
291,724,729,distal rectum,bowel,C0034896,C0021853,9,1,112,34480672,RB
292,19,21,systematic review,Systematic Reviews,C1955832,C1955832,10,0,3,24745978,SY
293,87,90,staple-line reinforcement,reinforcement,C0035007,C0035007,4,0,14,24745978,RQ
294,87,90,staple-line reinforcement,reinforcement,C0035007,C0035007,4,0,14,24745978,SY
295,129,131,stomach,left gastric fundus body,C0038351,C0017129,5,1,19,24745978,RO
296,129,131,stomach,left gastric fundus body,C0038351,C0017129,5,1,19,24745978,RN
297,129,131,stomach,left gastric fundus body,C0038351,C0017129,5,1,19,24745978,CHD
298,129,133,stomach,leave antrum,C0038351,C0034193,11,0,19,24745978,RO
299,129,133,stomach,leave antrum,C0038351,C0034193,11,0,19,24745978,RN
300,129,133,stomach,leave antrum,C0038351,C0034193,11,0,19,24745978,CHD
301,131,135,left gastric fundus body,stomach’s,C0017129,C0038351,13,0,19,24745978,PAR
302,131,135,left gastric fundus body,stomach’s,C0017129,C0038351,13,0,19,24745978,RO
303,131,135,left gastric fundus body,stomach’s,C0017129,C0038351,13,0,19,24745978,RB
304,133,135,leave antrum,stomach’s,C0034193,C0038351,9,1,19,24745978,PAR
305,133,135,leave antrum,stomach’s,C0034193,C0038351,9,1,19,24745978,RO
306,133,135,leave antrum,stomach’s,C0034193,C0038351,9,1,19,24745978,RB
307,135,136,stomach’s,less curvature,C0038351,C0227221,1,0,19,24745978,RO
308,135,136,stomach’s,less curvature,C0038351,C0227221,1,0,19,24745978,RN
309,135,136,stomach’s,less curvature,C0038351,C0227221,1,0,19,24745978,CHD
310,218,220,risk,potential,C0035647,C3245505,5,0,26,24745978,RO
311,303,305,e-publication,print publication,C0034036,C0034036,8,0,37,24745978,RQ
312,303,305,e-publication,print publication,C0034036,C0034036,8,0,37,24745978,SY
313,371,373,statistical software,spss software,C0037585,C0037585,4,0,48,24745978,RQ
314,371,373,statistical software,spss software,C0037585,C0037585,4,0,48,24745978,SY
315,481,487,systematic review,Systematic Reviews,C1955832,C1955832,16,0,67,24745978,SY
316,507,508,prospective,retrospective,C0023981,C0035363,2,0,71,24745978,CHD
317,527,528,Europe,France,C0015176,C0016674,2,0,74,24745978,CHD
318,527,528,Europe,France,C0015176,C0016674,2,0,74,24745978,RN
319,527,529,Europe,Netherlands,C0015176,C0027778,3,0,74,24745978,RQ
320,527,529,Europe,Netherlands,C0015176,C0027778,3,0,74,24745978,CHD
321,527,529,Europe,Netherlands,C0015176,C0027778,3,0,74,24745978,RN
322,527,530,Europe,United Kingdom,C0015176,C0041700,4,0,74,24745978,CHD
323,527,530,Europe,United Kingdom,C0015176,C0041700,4,0,74,24745978,RN
324,527,531,Europe,Austria,C0015176,C0004348,6,0,74,24745978,CHD
325,527,531,Europe,Austria,C0015176,C0004348,6,0,74,24745978,RN
326,527,532,Europe,Greece,C0015176,C0018226,7,0,74,24745978,RQ
327,527,532,Europe,Greece,C0015176,C0018226,7,0,74,24745978,CHD
328,527,532,Europe,Greece,C0015176,C0018226,7,0,74,24745978,RN
329,527,533,Europe,Italy,C0015176,C0022277,8,0,74,24745978,CHD
330,527,533,Europe,Italy,C0015176,C0022277,8,0,74,24745978,RN
331,527,534,Europe,Czech Republic,C0015176,C0206578,9,0,74,24745978,CHD
332,527,534,Europe,Czech Republic,C0015176,C0206578,9,0,74,24745978,RN
333,527,535,Europe,Belgium,C0015176,C0004950,11,0,74,24745978,CHD
334,527,535,Europe,Belgium,C0015176,C0004950,11,0,74,24745978,RN
335,527,536,Europe,Switzerland,C0015176,C0039021,12,0,74,24745978,RQ
336,527,536,Europe,Switzerland,C0015176,C0039021,12,0,74,24745978,CHD
337,527,536,Europe,Switzerland,C0015176,C0039021,12,0,74,24745978,RN
338,527,537,Europe,Sweden,C0015176,C0038995,13,0,74,24745978,RN
339,527,538,Europe,Spain,C0015176,C0037747,14,0,74,24745978,CHD
340,527,538,Europe,Spain,C0015176,C0037747,14,0,74,24745978,RN
341,527,539,Europe,Germany,C0015176,C0017480,16,0,74,24745978,CHD
342,527,539,Europe,Germany,C0015176,C0017480,16,0,74,24745978,RN
343,540,541,Oceania,New Zealand,C0282279,C0027978,2,0,75,24745978,RN
